County,2010 Pop w/Low Store Access,2015 Pop w/Low Store Access,%change '10-'15 Pop w/Low Store Access,2010 Low Income Pop w/Low Store Access,2015 Low Income Pop w/Low Store Access,%change '10-'15 Low Income Pop w/Low Store Access
Fresno,113631.6693,85484.37484,-24.77064241,50728.91356,38725.29228,-23.66228732
Kern,128065.3819,122097.2004,-4.660261366,45375.13907,45135.65312,-0.5277911
Kings,32733.48115,29477.34662,-9.947412906,8628.900451,7442.08271,-13.75398579
Madera,29905.61136,31476.85119,5.253996705,11364.84384,14151.70133,24.52174034
Mariposa,3155.777443,3193.816861,1.205389749,1080.509743,1118.17661,3.486027501
Merced,36593.86063,40077.48154,9.519686784,14080.4084,18755.68084,33.20409681
San Joaquin,77979.2139,86687.30164,11.16719097,24554.79847,32685.02246,33.11053033
Stanislaus,68988.05847,60419.58661,-12.42022467,24816.13666,24982.26831,0.669450079
Tulare,63227.07264,59680.26962,-5.60962713,35621.5555,35318.90302,-0.849632969
Tuolumne,15505.17469,16108.12972,3.888734168,4811.223466,5654.38473,17.5248826
