County,FIPS,State,2010 Population,2015 Population,2010 Pop w/Low Store Access,2015 Pop w/Low Store Access,%change '10-'15 Pop w/Low Store Access,2010 Low Income Pop w/Low Store Access,2015 Low Income Pop w/Low Store Access,%change '10-'15 Low Income Pop w/Low Store Access,2010 Pop w/o Low Access or Low Income,Pop w/o Low Store Access,Low Income Pop w/o Low Store Access,2015 Pop w/o Low Access or Low Income,2015 Pop W/O Low Access or Low Income
Fresno,6019.0, California,930450.0,970442.0,113631.7,85484.4,-24.77064241,50728.9,38725.3,-23.66228732,766089.4,816818.3,879721.1,846232.2999999999,846232.2999999999
Kern,6029.0, California,839631.0,877197.0,128065.4,122097.2,-4.660261366,45375.1,45135.7,-0.5277911,666190.5,711565.6,794255.9,709964.1000000001,709964.1000000001
Kings,6031.0, California,152982.0,150199.0,32733.5,29477.3,-9.947412906,8628.9,7442.1,-13.75398579,111619.6,120248.5,144353.1,113279.59999999999,113279.59999999999
Madera,6039.0, California,150865.0,153739.0,29905.6,31476.9,5.253996705,11364.8,14151.7,24.52174034,109594.59999999999,120959.4,139500.2,108110.40000000001,108110.40000000001
Mariposa,6043.0, California,18251.0,17622.0,3155.8,3193.8,1.205389749,1080.5,1118.2,3.486027501,14014.7,15095.2,17170.5,13310.0,13310.0
Merced,6047.0, California,255793.0,266651.0,36593.9,40077.5,9.519686784,14080.4,18755.7,33.20409681,205118.7,219199.1,241712.6,207817.8,207817.8
San Joaquin,6077.0, California,685306.0,721929.0,77979.2,86687.3,11.16719097,24554.8,32685.0,33.11053033,582772.0,607326.8,660751.2,602556.7,602556.7
Stanislaus,6099.0, California,514453.0,533534.0,68988.1,60419.6,-12.42022467,24816.1,24982.3,0.669450079,420648.80000000005,445464.9,489636.9,448132.10000000003,448132.10000000003
Tulare,6107.0, California,442179.0,457803.0,63227.1,59680.3,-5.60962713,35621.6,35318.9,-0.849632969,343330.30000000005,378951.9,406557.4,362803.8,362803.8
Tuolumne,6109.0, California,55365.0,53550.0,15505.2,16108.1,3.888734168,4811.2,5654.4,17.5248826,35048.600000000006,39859.8,50553.8,31787.5,31787.5
