County,"Grocery stores, 2011","Grocery stores, 2016","% Change in grocery stores, 2011-2016","Supercenters, 2011","Supercenters, 2016","% Change in supercenters, 2011-2016","Specialized food stores, 2011","Specialized food stores, 2016","% Change in specialized food stores, 2011-2016","Fast-food restaurants, 2011","Fast-food restaurants, 2016","% Change in fast-food restaurants, 2011-2016","Full-service restaurants, 2011","Full-service restaurants, 2016","% Change in full-service restaurants, 2011-2016"
Fresno,6019,233.0,257.0,10.30042919,5.0,10.0,100.0,77.0,73.0,-5.194805195,569.0,634.0,11.42355009,490.0,519.0,5.918367347
Kern,6029,181.0,187.0,3.314917127,4.0,8.0,100.0,56.0,40.0,-28.57142857,528.0,603.0,14.20454546,400.0,443.0,10.75
Kings,6031,32.0,28.0,-12.5,1.0,2.0,100.0,4.0,5.0,25.0,90.0,89.0,-1.111111111,46.0,45.0,-2.173913043
Madera,6039,35.0,38.0,8.571428571,0.0,0.0,0.0,10.0,10.0,0.0,75.0,78.0,4.0,48.0,52.0,8.333333333
Mariposa,6043,9.0,5.0,-44.44444444,0.0,0.0,0.0,1.0,0.0,-100.0,9.0,8.0,-11.11111111,12.0,13.0,8.333333333
Merced,6047,56.0,68.0,21.42857143,2.0,3.0,50.0,16.0,18.0,12.5,127.0,143.0,12.5984252,75.0,91.0,21.33333333
San Joaquin,6077,166.0,160.0,-3.614457831,4.0,10.0,150.0,55.0,52.0,-5.454545455,401.0,466.0,16.20947631,352.0,391.0,11.07954546
Stanislaus,6099,134.0,131.0,-2.23880597,3.0,4.0,33.33333333,31.0,45.0,45.16129032,327.0,366.0,11.92660551,255.0,293.0,14.90196078
Tulare,6107,107.0,119.0,11.21495327,3.0,4.0,33.33333333,30.0,34.0,13.33333333,215.0,264.0,22.79069767,210.0,212.0,0.952380952
Tuolumne,6109,12.0,16.0,33.33333333,1.0,0.0,-100.0,2.0,6.0,200.0,31.0,26.0,-16.12903226,69.0,56.0,-18.84057971
Amador,6005,11.0,13.0,18.18181818,0.0,0.0,0.0,2.0,5.0,150.0,12.0,21.0,75.0,39.0,44.0,12.82051282
Calaveras,6009,13.0,11.0,-15.38461539,0.0,0.0,0.0,4.0,3.0,-25.0,26.0,30.0,15.38461539,39.0,41.0,5.128205128
El Dorado,6017,32.0,32.0,0.0,0.0,0.0,0.0,15.0,12.0,-20.0,97.0,110.0,13.40206186,165.0,202.0,22.42424242
Placer,6061,64.0,64.0,0.0,3.0,4.0,33.33333333,20.0,22.0,10.0,274.0,334.0,21.89781022,297.0,328.0,10.43771044
Sacramento,6067,258.0,275.0,6.589147287,12.0,22.0,83.33333333,84.0,84.0,0.0,937.0,1075.0,14.72785486,892.0,981.0,9.977578475
Yolo,6113,39.0,44.0,12.82051282,2.0,2.0,0.0,9.0,18.0,100.0,138.0,152.0,10.14492754,124.0,144.0,16.12903226
Alameda,6001,387.0,372.0,-3.875968992,6.0,6.0,0.0,156.0,133.0,-14.74358974,1090.0,1293.0,18.62385321,1401.0,1560.0,11.3490364
Contra Costa,6013,210.0,200.0,-4.761904762,5.0,5.0,0.0,68.0,76.0,11.76470588,599.0,701.0,17.02838063,686.0,757.0,10.34985423
Marin,6041,64.0,70.0,9.375,1.0,1.0,0.0,25.0,15.0,-40.0,171.0,189.0,10.52631579,302.0,313.0,3.642384106
Napa,6055,38.0,40.0,5.263157895,1.0,2.0,100.0,16.0,14.0,-12.5,76.0,82.0,7.894736842,134.0,150.0,11.94029851
San Francisco,6075,319.0,358.0,12.22570533,1.0,1.0,0.0,187.0,178.0,-4.812834225,753.0,958.0,27.22443559,1764.0,1917.0,8.673469388
San Mateo,6081,168.0,182.0,8.333333333,4.0,4.0,0.0,62.0,53.0,-14.51612903,501.0,593.0,18.36327345,742.0,828.0,11.5902965
Santa Clara,6085,326.0,348.0,6.748466258,9.0,11.0,22.22222222,135.0,132.0,-2.222222222,1288.0,1544.0,19.8757764,1555.0,1712.0,10.09646302
Solano,6095,70.0,72.0,2.857142857,5.0,8.0,60.0,27.0,32.0,18.51851852,270.0,290.0,7.407407407,243.0,265.0,9.053497942
Sonoma,6097,134.0,140.0,4.47761194,2.0,2.0,0.0,61.0,69.0,13.1147541,273.0,291.0,6.593406593,488.0,523.0,7.172131148
