County,Diabetes 2008,Diabetes 2013,Obesity 2012,Obesity 2017,Physical Activity 2017,Recreation Facilities 2011,Recreation Facilities 2016,Percent Change Recreation Facilities 2011-2016,Recreation Facilities Per-1000 2011,Recreation Facilities Per-1000 2016,Percent Change Recreation Facilities Per-1000 2011_2016
Fresno,6019,8.5,9.4,25.0,25.1,27.5,39.0,62.0,58.97435897,0.0414735,0.063295404,52.61657911
Kern,6029,7.0,9.3,25.0,25.1,27.5,41.0,48.0,17.07317073,0.0483054,0.054232,12.26913984
Kings,6031,5.7,7.5,25.0,25.1,27.5,11.0,7.0,-36.36363636,0.072354141,0.0467299,-35.41501924
Madera,6039,7.8,7.9,25.0,25.1,27.5,7.0,8.0,14.28571429,0.0460902,0.0516242,12.0068734
Mariposa,6043,8.3,10.7,25.0,25.1,27.5,2.0,2.0,0.0,0.11004732,0.114129194,3.709198813
Merced,6047,7.5,9.2,25.0,25.1,27.5,13.0,19.0,46.15384615,0.0500757,0.070664019,41.11441449
San Joaquin,6077,7.9,10.3,25.0,25.1,27.5,36.0,49.0,36.11111111,0.0517933,0.066730765,28.84060895
Stanislaus,6099,8.1,9.7,25.0,25.1,27.5,38.0,42.0,10.52631579,0.073354259,0.077583388,5.765349917
Tulare,6107,7.6,8.0,25.0,25.1,27.5,15.0,14.0,-6.666666667,0.0335302,0.0303796,-9.396175782
Tuolumne,6109,6.8,10.1,25.0,25.1,27.5,6.0,5.0,-16.66666667,0.109425153,0.092959265,-15.04762613
Amador,6005,9.3,10.2,25.0,25.1,27.5,4.0,4.0,0.0,0.106555849,0.106743522,0.176126811
Calaveras,6009,7.3,10.0,25.0,25.1,27.5,5.0,4.0,-20.0,0.110710095,0.088270992,-20.26834382
El Dorado,6017,7.1,7.5,25.0,25.1,27.5,15.0,27.0,80.0,0.082884376,0.144949321,74.8813563
Placer,6061,7.1,9.0,25.0,25.1,27.5,47.0,54.0,14.89361702,0.13185765,0.142201811,7.844945566
Sacramento,6067,8.4,8.4,25.0,25.1,27.5,121.0,148.0,22.31404959,0.084349595,0.097802096,15.94850721
Yolo,6113,6.7,6.9,25.0,25.1,27.5,17.0,18.0,5.882352941,0.084124266,0.083349154,-0.92138949
Alameda,6001,7.6,8.5,25.0,25.1,27.5,145.0,156.0,7.586206897,0.094634239,0.094360394,-0.289371874
Contra Costa,6013,7.0,9.4,25.0,25.1,27.5,113.0,140.0,23.89380531,0.105985657,0.122953159,16.00924356
Marin,6041,6.4,7.9,25.0,25.1,27.5,56.0,71.0,26.78571429,0.219173793,0.271477295,23.8639399
Napa,6055,7.3,8.4,25.0,25.1,27.5,20.0,23.0,15.0,0.145027374,0.16237319,11.96037388
San Francisco,6075,7.9,7.9,25.0,25.1,27.5,111.0,142.0,27.92792793,0.135980419,0.162081399,19.1946609
San Mateo,6081,6.8,8.3,25.0,25.1,27.5,105.0,107.0,1.904761905,0.144028575,0.13904031,-3.463385835
Santa Clara,6085,7.4,8.4,25.0,25.1,27.5,201.0,262.0,30.34825871,0.110816336,0.135640604,22.40127141
Solano,6095,9.9,9.8,25.0,25.1,27.5,38.0,48.0,26.31578947,0.09120321,0.109012123,19.5266292
Sonoma,6097,6.6,7.9,25.0,25.1,27.5,58.0,69.0,18.96551724,0.118895827,0.13695014,15.18498501
